Student_ID,Name,Age,Marks,Department,City,Attendance,Monthly_Stipend
1001,Tejaswi,18.0,90.0,IT,Hyderabad,92.21,17326.0
1002,Anu,23.0,55.0,CIVIL,Tirupati,99.01,20580.0
1003,Priya,22.0,89.0,IT,Vijayawada,,19781.0
1004,Ravi,,45.0,MECH,Nellore,70.04,7691.0
1005,Kiran,21.0,88.0,IT,Visakhapatnam,65.49,21521.0
1006,Sneha,24.0,,ECE,Vijayawada,73.04,15721.0
1007,Arjun,18.0,87.0,MECH,Guntur,69.61,11461.0
1008,Divya,22.0,81.0,,Visakhapatnam,88.72,15284.0
1009,Manoj,19.0,70.0,ECE,Guntur,69.26,24340.0
1010,Lakshmi,18.0,83.0,MECH,Vijayawada,82.72,
1011,Sai,21.0,60.0,ECE,,89.3,21674.0
1012,Pooja,24.0,87.0,MECH,Tirupati,85.34,14256.0
1013,Rahul,,75.0,MECH,Vijayawada,71.99,20683.0
1014,Nikhil,23.0,70.0,IT,Guntur,93.14,12702.0
1015,Keerthi,23.0,72.0,MECH,Guntur,90.04,18723.0
1016,Harsha,23.0,76.0,ECE,Visakhapatnam,,17791.0
1017,Swathi,21.0,47.0,CSE,Tirupati,69.59,9996.0
1018,Varun,18.0,52.0,CSE,Tirupati,69.33,10329.0
1019,Bhavya,23.0,,IT,Nellore,97.46,6222.0
1020,Sandeep,21.0,51.0,CIVIL,Tirupati,78.92,7795.0
1021,Tejaswi,21.0,69.0,CSE,Guntur,75.53,13672.0
1022,Anu,20.0,81.0,IT,Vijayawada,82.1,14558.0
1023,Priya,19.0,80.0,,Visakhapatnam,88.2,8302.0
1024,Ravi,24.0,70.0,ECE,Nellore,98.45,13338.0
1025,Kiran,23.0,92.0,MECH,Nellore,75.03,17084.0
1026,Sneha,,76.0,ECE,Guntur,97.37,9651.0
1027,Arjun,20.0,49.0,MECH,Guntur,65.87,11765.0
1028,Divya,23.0,87.0,EEE,Vijayawada,84.43,
1029,Manoj,21.0,76.0,EEE,Vijayawada,87.19,15101.0
1030,Lakshmi,21.0,79.0,ECE,,68.71,12328.0
1031,Sai,21.0,76.0,IT,Visakhapatnam,69.91,19739.0
1032,Pooja,19.0,,CIVIL,Hyderabad,79.67,11550.0
1033,Rahul,18.0,49.0,CSE,Guntur,98.82,13678.0
1034,Nikhil,21.0,75.0,MECH,Tirupati,85.86,12589.0
1035,Keerthi,24.0,88.0,IT,Hyderabad,97.66,8658.0
1036,Harsha,18.0,61.0,MECH,Tirupati,93.15,18715.0
1037,Swathi,24.0,78.0,EEE,Nellore,81.36,9709.0
1038,Varun,23.0,46.0,IT,Guntur,,10937.0
1039,Bhavya,19.0,64.0,ECE,Guntur,65.62,20855.0
1040,Sandeep,22.0,69.0,EEE,Nellore,68.82,23978.0
1041,Tejaswi,19.0,99.0,CSE,Visakhapatnam,94.03,18417.0
1042,Anu,23.0,56.0,EEE,Guntur,92.89,23327.0
1043,Priya,22.0,60.0,CSE,Visakhapatnam,73.14,22084.0
1044,Ravi,20.0,67.0,EEE,Visakhapatnam,83.58,14618.0
1045,Kiran,,99.0,EEE,Nellore,86.21,20406.0
1046,Sneha,24.0,91.0,CSE,Guntur,95.37,11567.0
1047,Arjun,21.0,46.0,MECH,Nellore,86.11,14210.0
1048,Divya,24.0,57.0,IT,Nellore,79.44,15709.0
1049,Manoj,22.0,90.0,,Guntur,78.1,24210.0
1050,Lakshmi,23.0,48.0,CSE,Vijayawada,79.91,21972.0
1051,Sai,23.0,92.0,ECE,Visakhapatnam,87.82,14785.0
1052,Pooja,19.0,60.0,IT,Vijayawada,95.36,18052.0
1053,Rahul,20.0,95.0,ECE,Guntur,80.89,
1054,Nikhil,21.0,61.0,ECE,Hyderabad,73.67,21088.0
1055,Keerthi,21.0,68.0,EEE,Nellore,73.28,16061.0
1056,Harsha,18.0,81.0,CSE,Nellore,91.11,15654.0
1057,Swathi,21.0,,MECH,Vijayawada,93.58,20326.0
1058,Varun,19.0,75.0,CSE,Nellore,68.68,17658.0
1059,Bhavya,23.0,72.0,ECE,Vijayawada,67.33,6449.0
1060,Sandeep,22.0,88.0,EEE,Tirupati,85.81,10763.0
1061,Tejaswi,24.0,99.0,MECH,Nellore,70.12,8534.0
1062,Anu,23.0,81.0,ECE,,93.86,19698.0
1063,Priya,20.0,67.0,ECE,Guntur,75.86,5702.0
1064,Ravi,24.0,67.0,CIVIL,Nellore,70.04,9048.0
1065,Kiran,20.0,67.0,CIVIL,Vijayawada,97.23,16949.0
1066,Sneha,20.0,89.0,EEE,Visakhapatnam,70.79,18896.0
1067,Arjun,24.0,62.0,IT,Hyderabad,74.97,15066.0
1068,Divya,,54.0,IT,Guntur,70.38,22215.0
1069,Manoj,18.0,63.0,EEE,Vijayawada,69.04,23379.0
1070,Lakshmi,21.0,46.0,EEE,Tirupati,,7642.0
1071,Sai,23.0,50.0,ECE,Hyderabad,66.94,24051.0
1072,Pooja,19.0,49.0,CSE,Visakhapatnam,71.11,17288.0
1073,Rahul,21.0,87.0,CSE,Hyderabad,66.87,17725.0
1074,Nikhil,18.0,,CIVIL,Hyderabad,85.69,6902.0
1075,Keerthi,22.0,83.0,IT,Nellore,88.83,17438.0
1076,Harsha,21.0,70.0,IT,Vijayawada,78.78,19515.0
1077,Swathi,20.0,84.0,,Tirupati,76.13,16616.0
1078,Varun,19.0,53.0,MECH,Tirupati,82.66,6689.0
1079,Bhavya,21.0,94.0,CSE,Hyderabad,95.63,15465.0
1080,Sandeep,22.0,72.0,CSE,Guntur,94.79,23719.0
1081,Tejaswi,24.0,96.0,ECE,Vijayawada,66.52,19469.0
1082,Anu,21.0,53.0,IT,Nellore,71.35,
1083,Priya,19.0,72.0,MECH,Nellore,73.29,24199.0
1084,Ravi,23.0,83.0,IT,Guntur,73.73,24178.0
1085,Kiran,22.0,72.0,IT,Vijayawada,84.99,8388.0
1086,Sneha,22.0,69.0,CIVIL,,79.57,21018.0
1087,Arjun,18.0,54.0,CSE,Vijayawada,66.72,13134.0
1088,Divya,20.0,65.0,EEE,Tirupati,78.08,16874.0
1089,Manoj,23.0,58.0,EEE,Nellore,83.33,13904.0
1090,Lakshmi,,61.0,IT,Vijayawada,68.56,20653.0
1091,Sai,21.0,82.0,MECH,Tirupati,94.17,24934.0
1092,Pooja,23.0,79.0,ECE,Guntur,,20903.0
1093,Rahul,23.0,78.0,CIVIL,Hyderabad,97.37,23628.0
1094,Nikhil,20.0,64.0,ECE,Visakhapatnam,68.47,23921.0
1095,Keerthi,24.0,,EEE,Tirupati,94.53,6802.0
1096,Harsha,20.0,49.0,EEE,Nellore,96.59,10067.0
1097,Swathi,19.0,63.0,CIVIL,Vijayawada,99.28,19437.0
1098,Varun,22.0,51.0,IT,Guntur,93.07,16802.0
1099,Bhavya,22.0,63.0,ECE,Guntur,92.28,6002.0
1100,Sandeep,18.0,97.0,CSE,Guntur,87.49,6901.0
