Student_ID,Name,Age,Marks,Department,City,Attendance,Monthly_Stipend
1045,Kiran,18,99,EEE,Nellore,86.21,20406
1061,Tejaswi,24,99,MECH,Nellore,70.12,8534
1041,Tejaswi,19,99,CSE,Visakhapatnam,94.03,18417
1095,Keerthi,24,97,EEE,Tirupati,94.53,6802
1100,Sandeep,18,97,CSE,Guntur,87.49,6901
1081,Tejaswi,24,96,ECE,Vijayawada,66.52,19469
1053,Rahul,20,95,ECE,Guntur,80.89,9047
1079,Bhavya,21,94,CSE,Hyderabad,95.63,15465
1025,Kiran,23,92,MECH,Nellore,75.03,17084
1051,Sai,23,92,ECE,Visakhapatnam,87.82,14785
1046,Sneha,24,91,CSE,Guntur,95.37,11567
1049,Manoj,22,90,MECH,Guntur,78.1,24210
1001,Tejaswi,18,90,IT,Hyderabad,92.21,17326
1066,Sneha,20,89,EEE,Visakhapatnam,70.79,18896
1003,Priya,22,89,IT,Vijayawada,82.53,19781
1060,Sandeep,22,88,EEE,Tirupati,85.81,10763
1035,Keerthi,24,88,IT,Hyderabad,97.66,8658
1006,Sneha,24,88,ECE,Vijayawada,73.04,15721
1005,Kiran,21,88,IT,Visakhapatnam,65.49,21521
1007,Arjun,18,87,MECH,Guntur,69.61,11461
1012,Pooja,24,87,MECH,Tirupati,85.34,14256
1028,Divya,23,87,EEE,Vijayawada,84.43,12350
1073,Rahul,21,87,CSE,Hyderabad,66.87,17725
1074,Nikhil,18,84,CIVIL,Hyderabad,85.69,6902
1077,Swathi,20,84,IT,Tirupati,76.13,16616
1010,Lakshmi,18,83,MECH,Vijayawada,82.72,22152
1075,Keerthi,22,83,IT,Nellore,88.83,17438
1084,Ravi,23,83,IT,Guntur,73.73,24178
1091,Sai,21,82,MECH,Tirupati,94.17,24934
1056,Harsha,18,81,CSE,Nellore,91.11,15654
1022,Anu,20,81,IT,Vijayawada,82.1,14558
1062,Anu,23,81,ECE,Nellore,93.86,19698
1008,Divya,22,81,CIVIL,Visakhapatnam,88.72,15284
1023,Priya,19,80,MECH,Visakhapatnam,88.2,8302
1092,Pooja,23,79,ECE,Guntur,66.82,20903
1030,Lakshmi,21,79,ECE,Visakhapatnam,68.71,12328
1093,Rahul,23,78,CIVIL,Hyderabad,97.37,23628
1037,Swathi,24,78,EEE,Nellore,81.36,9709
1026,Sneha,22,76,ECE,Guntur,97.37,9651
1031,Sai,21,76,IT,Visakhapatnam,69.91,19739
1029,Manoj,21,76,EEE,Vijayawada,87.19,15101
1016,Harsha,23,76,ECE,Visakhapatnam,90.86,17791
1032,Pooja,19,75,CIVIL,Hyderabad,79.67,11550
1013,Rahul,23,75,MECH,Vijayawada,71.99,20683
1058,Varun,19,75,CSE,Nellore,68.68,17658
1034,Nikhil,21,75,MECH,Tirupati,85.86,12589
1083,Priya,19,72,MECH,Nellore,73.29,24199
1085,Kiran,22,72,IT,Vijayawada,84.99,8388
1059,Bhavya,23,72,ECE,Vijayawada,67.33,6449
1080,Sandeep,22,72,CSE,Guntur,94.79,23719
1015,Keerthi,23,72,MECH,Guntur,90.04,18723
1009,Manoj,19,70,ECE,Guntur,69.26,24340
1014,Nikhil,23,70,IT,Guntur,93.14,12702
1076,Harsha,21,70,IT,Vijayawada,78.78,19515
1024,Ravi,24,70,ECE,Nellore,98.45,13338
1021,Tejaswi,21,69,CSE,Guntur,75.53,13672
1040,Sandeep,22,69,EEE,Nellore,68.82,23978
1086,Sneha,22,69,CIVIL,Vijayawada,79.57,21018
1055,Keerthi,21,68,EEE,Nellore,73.28,16061
1064,Ravi,24,67,CIVIL,Nellore,70.04,9048
1063,Priya,20,67,ECE,Guntur,75.86,5702
1044,Ravi,20,67,EEE,Visakhapatnam,83.58,14618
1065,Kiran,20,67,CIVIL,Vijayawada,97.23,16949
1088,Divya,20,65,EEE,Tirupati,78.08,16874
1094,Nikhil,20,64,ECE,Visakhapatnam,68.47,23921
1039,Bhavya,19,64,ECE,Guntur,65.62,20855
1097,Swathi,19,63,CIVIL,Vijayawada,99.28,19437
1069,Manoj,18,63,EEE,Vijayawada,69.04,23379
1099,Bhavya,22,63,ECE,Guntur,92.28,6002
1067,Arjun,24,62,IT,Hyderabad,74.97,15066
1090,Lakshmi,23,61,IT,Vijayawada,68.56,20653
1036,Harsha,18,61,MECH,Tirupati,93.15,18715
1054,Nikhil,21,61,ECE,Hyderabad,73.67,21088
1011,Sai,21,60,ECE,Visakhapatnam,89.3,21674
1052,Pooja,19,60,IT,Vijayawada,95.36,18052
1043,Priya,22,60,CSE,Visakhapatnam,73.14,22084
1089,Manoj,23,58,EEE,Nellore,83.33,13904
1019,Bhavya,23,58,IT,Nellore,97.46,6222
1048,Divya,24,57,IT,Nellore,79.44,15709
1042,Anu,23,56,EEE,Guntur,92.89,23327
1002,Anu,23,55,CIVIL,Tirupati,99.01,20580
1087,Arjun,18,54,CSE,Vijayawada,66.72,13134
1068,Divya,20,54,IT,Guntur,70.38,22215
1078,Varun,19,53,MECH,Tirupati,82.66,6689
1082,Anu,21,53,IT,Nellore,71.35,7748
1018,Varun,18,52,CSE,Tirupati,69.33,10329
1098,Varun,22,51,IT,Guntur,93.07,16802
1057,Swathi,21,51,MECH,Vijayawada,93.58,20326
1020,Sandeep,21,51,CIVIL,Tirupati,78.92,7795
1071,Sai,23,50,ECE,Hyderabad,66.94,24051
1027,Arjun,20,49,MECH,Guntur,65.87,11765
1033,Rahul,18,49,CSE,Guntur,98.82,13678
1096,Harsha,20,49,EEE,Nellore,96.59,10067
1072,Pooja,19,49,CSE,Visakhapatnam,71.11,17288
1050,Lakshmi,23,48,CSE,Vijayawada,79.91,21972
1017,Swathi,21,47,CSE,Tirupati,69.59,9996
1038,Varun,23,46,IT,Guntur,92.47,10937
1047,Arjun,21,46,MECH,Nellore,86.11,14210
1070,Lakshmi,21,46,EEE,Tirupati,65.74,7642
1004,Ravi,21,45,MECH,Nellore,70.04,7691
